#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1764757958893293568,-0.002064621,0.009440080,0.009013432,0.225221981,0.321835292,9.806466780
1764757958898502144,0.001165342,0.008968051,0.013209240,0.138696289,0.281510442,9.789241216
1764757958903709440,0.001408943,0.008004516,0.009532370,0.224421514,0.236158678,9.759852055
1764757958908939264,0.002220786,0.007843381,0.009284997,0.235783180,0.247694293,9.839089569
1764757958914172928,0.003404164,0.007533057,0.008310399,0.194463636,0.315876350,9.701605870
1764757958919383040,0.001250574,0.008295100,0.008376386,0.160597136,0.327882317,9.679197467
1764757958924574464,0.003031710,0.010935122,0.011551892,0.184095180,0.298179326,9.817590423
1764757958929772288,0.002166447,0.008602568,0.011150636,0.172544504,0.294066449,9.827829107
1764757958934978816,0.003909735,0.006889325,0.005974663,0.253549703,0.300839964,9.779136196
1764757958940155904,0.002712040,0.006618845,0.008232360,0.207827108,0.305099878,9.723074348
1764757958945334272,0.003242370,0.005273951,0.008009583,0.215659657,0.212699646,9.811172290
1764757958950482176,0.003082754,0.009086034,0.008482014,0.234956401,0.281597232,9.743958878
1764757958955653888,0.003116477,0.008353180,0.007741459,0.124907277,0.231071021,9.891738023
1764757958960835072,0.000772255,0.006211972,0.006966249,0.239553601,0.259985860,9.812334564
1764757958966002688,0.002281579,0.008389222,0.007484760,0.232253965,0.296441541,9.729330088
1764757958971173632,0.000802902,0.008232368,0.004110015,0.169464284,0.251796225,9.744546136
1764757958976373248,0.004664643,0.009643721,0.005098761,0.269442538,0.262116198,9.717286250
1764757958981587712,0.003716125,0.008078814,0.008975996,0.134634411,0.321757231,9.734006167
1764757958986820352,0.003154658,0.009582839,0.006017637,0.243867232,0.305259131,9.776983896
1764757958992014080,0.003985263,0.010165819,0.006874825,0.215211514,0.409913140,9.734280692
1764757958997221120,0.002957281,0.009064128,0.005106757,0.088886704,0.250330883,9.645351916
1764757959002401792,0.004133702,0.006776198,0.008524594,0.204382838,0.321838470,9.728218223
1764757959007553536,0.005697200,0.007429126,0.007094953,0.215835850,0.283637281,9.750310007
